gender,married,dependents,education,self_employed,income,loan_amount,loan_status
0,0,2,1,0,96000.0,2990.0,Approved
0,1,0,0,1,41000.0,1220.0,Rejected
0,1,3,1,0,91000.0,2970.0,Rejected
0,1,3,1,0,82000.0,3070.0,Rejected
0,0,5,0,1,98000.0,2420.0,Rejected
0,0,0,1,1,48000.0,1350.0,Rejected
0,0,5,1,0,87000.0,3300.0,Approved
0,0,2,1,1,57000.0,1500.0,Rejected
0,0,0,1,1,8000.0,220.0,Approved
0,0,5,0,0,11000.0,430.0,Rejected
0,1,4,1,1,29000.0,1120.0,Approved
0,0,2,0,1,67000.0,2270.0,Rejected
0,1,3,0,1,50000.0,1160.0,Rejected
1,1,2,1,1,91000.0,3150.0,Approved
0,0,1,0,0,19000.0,740.0,Rejected
0,0,5,0,0,47000.0,1070.0,Approved
0,0,2,1,1,5000.0,160.0,Approved
0,0,4,0,1,29000.0,940.0,Approved
0,1,2,1,0,27000.0,1030.0,Approved
0,1,5,1,0,63000.0,1460.0,Approved
0,0,2,1,0,50000.0,1940.0,Rejected
0,1,4,1,0,58000.0,1400.0,Rejected
0,1,4,1,1,65000.0,2570.0,Rejected
0,1,0,0,1,5000.0,140.0,Approved
0,0,0,0,0,49000.0,980.0,Rejected
0,1,5,0,0,31000.0,950.0,Rejected
0,1,4,1,0,82000.0,2810.0,Approved
0,1,4,0,1,24000.0,560.0,Approved
0,1,5,0,1,70000.0,2400.0,Rejected
0,0,3,0,1,90000.0,3150.0,Approved
0,1,2,0,0,98000.0,2530.0,Rejected
1,1,2,1,0,57000.0,1200.0,Rejected
0,0,1,0,1,8000.0,160.0,Rejected
0,0,5,0,1,84000.0,2200.0,Approved
0,1,3,1,0,49000.0,1190.0,Approved
1,0,2,1,1,17000.0,340.0,Approved
0,0,3,0,0,16000.0,620.0,Approved
1,1,5,1,1,80000.0,2720.0,Rejected
1,1,5,1,0,36000.0,770.0,Approved
0,1,3,0,1,15000.0,510.0,Rejected
1,1,1,1,0,78000.0,1810.0,Approved
0,1,2,0,0,91000.0,2490.0,Approved
0,0,3,1,0,14000.0,340.0,Rejected
1,1,2,1,1,8000.0,230.0,Rejected
0,0,5,1,0,65000.0,1340.0,Approved
1,1,4,1,0,80000.0,2780.0,Rejected
0,0,3,0,1,42000.0,1460.0,Approved
0,1,1,1,1,49000.0,1910.0,Approved
0,1,3,0,0,55000.0,2050.0,Approved
0,0,1,0,1,95000.0,1910.0,Approved
1,1,4,1,0,73000.0,2540.0,Rejected
0,1,2,1,0,87000.0,2470.0,Rejected
1,1,5,0,0,38000.0,760.0,Approved
1,1,1,0,1,84000.0,2300.0,Approved
0,1,2,1,1,51000.0,1970.0,Approved
0,0,5,0,0,67000.0,2450.0,Approved
0,0,2,0,0,43000.0,1060.0,Rejected
0,1,5,1,1,93000.0,3050.0,Approved
0,1,1,1,0,74000.0,1840.0,Rejected
1,0,4,0,1,55000.0,1820.0,Approved
0,0,2,0,0,85000.0,1890.0,Rejected
1,1,3,0,1,96000.0,3050.0,Approved
0,1,5,0,1,88000.0,2890.0,Rejected
0,0,3,0,1,33000.0,750.0,Approved
0,1,4,1,1,39000.0,1230.0,Approved
0,1,1,1,0,41000.0,1030.0,Rejected
0,0,3,0,0,83000.0,2910.0,Approved
0,1,0,0,1,27000.0,1010.0,Rejected
0,0,4,1,0,56000.0,1240.0,Approved
0,1,0,1,0,19000.0,500.0,Rejected
0,1,4,0,1,5000.0,150.0,Rejected
0,0,5,1,1,53000.0,1860.0,Approved
