iter	F1	Logloss
0	0.7794282511	0.6735028246
1	0.7820672478	0.6624737126
2	0.7823920266	0.6535606356
3	0.7821740941	0.6474847122
4	0.782572499	0.6422654179
5	0.7839112344	0.6349886409
6	0.7866927593	0.6246462491
7	0.7907826331	0.6181101394
8	0.7905405405	0.6135744448
9	0.7909859155	0.6128620347
10	0.7958751236	0.6041396148
11	0.7962936565	0.5978364309
12	0.8017759954	0.5900690228
13	0.8018908466	0.589538398
14	0.8033942183	0.5816286362
15	0.8056721169	0.575377061
16	0.8067520373	0.5707592406
17	0.8111418988	0.5647243378
18	0.8136190197	0.5571409433
19	0.8170965365	0.5526817049
20	0.8173374613	0.5526234345
21	0.8223801066	0.5464047837
22	0.8249443207	0.5439251135
23	0.8294642857	0.5351704561
24	0.8294642857	0.535009589
25	0.8317896624	0.5315701254
26	0.8322869955	0.5311023772
27	0.832884097	0.5303620843
28	0.8360952094	0.5262101784
29	0.8378623188	0.5218160379
30	0.8400181626	0.5187122697
31	0.8410365207	0.5158948086
32	0.8442485944	0.5120934481
33	0.84409257	0.5085121363
34	0.8448643706	0.5062310992
35	0.8473072215	0.503591116
36	0.8487446418	0.5004731706
37	0.8535796767	0.4958284899
38	0.8566136749	0.4892010018
39	0.8590001548	0.4859803975
40	0.8598043782	0.4817181791
41	0.8603386671	0.4806612246
42	0.8603421462	0.4761908111
43	0.8620797011	0.4717649668
44	0.8647636874	0.4688864382
45	0.8665207877	0.4650315081
46	0.8677414306	0.4626979583
47	0.869510665	0.4600636093
48	0.8712560765	0.4556316569
49	0.8718029186	0.453770832
50	0.8730358265	0.4510560561
51	0.8738597043	0.449753766
52	0.8748228625	0.4476163601
53	0.8759469697	0.4448976224
54	0.8788118186	0.4410360696
55	0.8803676121	0.437826538
56	0.881431059	0.4353093979
57	0.8831086439	0.4320678831
58	0.8876869233	0.428623295
59	0.8899521531	0.4245128006
60	0.8915162166	0.4221523472
61	0.8929428709	0.4190970339
62	0.8948043618	0.4161985511
63	0.8958099213	0.4155282819
64	0.8959537572	0.4131073534
65	0.8979788258	0.4108537714
66	0.9000963701	0.4070827051
67	0.8999518227	0.404114358
68	0.9017842791	0.4010130707
69	0.902945437	0.397840531
70	0.9038182697	0.3957146139
71	0.9055143502	0.3936466589
72	0.9068302923	0.3917221791
73	0.9075630252	0.3899820169
74	0.9090320492	0.3877864274
75	0.9100631988	0.3854178776
76	0.9109489051	0.3822974473
77	0.9113924051	0.3809013878
78	0.9111580315	0.3792752493
79	0.9111580315	0.3772535333
80	0.9124918673	0.3750119673
81	0.9130859375	0.3731915586
82	0.9149560117	0.3703343223
83	0.9157019403	0.3683031538
84	0.9165986617	0.3669993037
85	0.9175779337	0.3660226269
86	0.9189365519	0.3631834476
87	0.9186368824	0.3618461072
88	0.9190071848	0.3586223794
89	0.9196078431	0.3581212472
