iter	Passed	Remaining
0	1	416
1	1	279
2	4	399
3	4	353
4	5	328
5	7	374
6	9	404
7	11	427
8	13	422
9	13	396
10	15	414
11	17	428
12	19	441
13	20	420
14	22	430
15	24	438
16	26	449
17	29	454
18	31	463
19	33	469
20	33	451
21	35	454
22	38	458
23	40	462
24	40	447
25	42	450
26	43	436
27	44	428
28	46	436
29	49	441
30	51	444
31	53	448
32	55	450
33	57	452
34	60	454
35	62	456
36	64	458
37	66	459
38	68	459
39	70	461
40	73	463
41	74	455
42	76	456
43	78	457
44	80	457
45	82	457
46	85	457
47	87	458
48	89	458
49	91	457
50	93	457
51	95	456
52	97	456
53	99	455
54	102	455
55	104	455
56	106	454
57	108	453
58	110	453
59	113	453
60	115	452
61	117	452
62	120	452
63	122	451
64	124	450
65	126	450
66	129	448
67	131	447
68	133	446
69	135	445
70	137	444
71	139	442
72	142	441
73	144	440
74	146	439
75	148	438
76	150	436
77	153	435
78	155	433
79	157	432
80	159	430
81	161	429
82	163	427
83	165	426
84	168	425
85	170	423
86	172	422
87	174	420
88	176	418
89	178	417
